,smiles_huckel_DFT_xyz
91,C1=CN(Cc2ccccn2)[C](->[Au+]<-[C]2N(Cc3ccccn3)C=CN2Cc2ccccn2)N1Cc1ccccn1
92,COc12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c1c->3c->4(-c1cccc3cccc(C)c13)c->5c->62
93,Cc1cccc2cccc(-c34->[Cr]5678(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->53)c->6(F)c->7c->84)c12
94,Cc1cccc2cccc(-c34->[Cr]5678(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c3c->5c->6(N(C)C)c->7c->84)c12
95,COC(=O)c12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c1c->3c->4(-c1cccc3cccc(C)c13)c->5c->62
96,S=C=[N-]->[Fe+2]123(<-[N-]=C=S)<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31
97,Cc1cccc2cccc(-c34->[Mn+]5678(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->53)c->6(C)c->7c->84)c12
98,S=C=[N-]->[Fe+2]123(<-[N-]=C=S)<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31
99,CC(=N->[Pt+2](<-[Cl-])(<-[Cl-])<-N=C(C)N(C)C)N(C)C
100,FC(F)(F)c1ccccc1N1=Cc2ccccn2->[Pd+2]<-1(<-[Cl-])<-[Cl-]
101,Clc1cc2-c3ccccn3->[Cd+2]3(<-[I-])(<-[I-])<-n4ccccc4-c(c1)n->32
103,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[Pt+2]<-2(<-[Cl-])<-S=1
104,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[V+5]<-2(<-[O-2])(<-[O-2])<-S=1
106,CCP(CC)(CC)->[Cu+](<-[Se-]c1ccccc1)(<-P(CC)(CC)CC)<-P(CC)(CC)CC
107,CCC1CSC2C3(C4=N(->[Pd+2](<-[Cl-])(<-[Cl-])<-N=21)C(CC)CS4)CCCCC3
108,CCC12->[Pt+2]34(<-[I-])(<-[I-])<-C5=C->3C1CC5C->4=2
109,O.[Cl-]->[Ni+2]12(<-n3ccccc3-c3ccccn->13)<-n1ccccc1-c1ccccn->21
110,CC1(C)COC2c3cccc4C5=N(->[Ni+2](<-[I-])(<-[c-]34)<-N=21)C(C)(C)CO5
111,CN1(C)CCN2=Cc3c(F)cc(F)c(F)[c-]3->[Pt+2]<-2<-1<-[Cl-]
112,CC1=N2->[Co+3]34(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N(=C(C)CC(C)(C)N->3CC2)CCN->4C(C)(C)C1
113,[I-]->[Ni+2]123(<-[I-])<-N4=Cc5ccccc5O->1CCN->2=Cc1ccccc1O->3CC4
116,COC(=O)C1CCS(C)->[Pt+2]2(<-[Cl-])<-[c-]3ccccc3C=N->21
117,[O+]#[C-]->[Re+]1(<-[C-]#[N+]c2ccc(Cl)cc2)(<-[C-]#[N+]c2ccc(Cl)cc2)(<-[C-]#[N+]c2ccc(Cl)cc2)<-n2cccc3ccc4cccn->1c4c32
118,Cc1cc(C)n2->[W+2]34(<-[Cl-])(<-[C-]#[O+])(<-C([Se]C(C)C)#C->3c3ccccc3)<-n3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)n->41
119,COc1ccc([N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[N+]c3ccc(OC)cc3)(<-[C-]#[N+]c3ccc(OC)cc3)<-n3cccc4ccc5cccn->2c5c43)cc1
120,[Cl-]->[Zr+4]123456789(<-[Cl-])<-c%10c->1[cH-]->2c->3(CCCCCCCCC[c-]->41c->5c->6c->7c->81)c->9%10
121,Cc1cc(C)n2->[Zn+2](<-[Cl-])(<-[Cl-])<-n3c(C)cc(C)n3CCn12
122,O=C1[O-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n3cccn3C1n1cccn->21
123,CC#N->[Cu+]1<-N2=C(C(F)(F)F)C=C(C(F)(F)F)C2=C2C=CC=C[N-]->12
124,[O-2]->[Re+5]123(<-[O-]c4ccccc4C=N->1c1ccccc1[S-]->2)<-[O-]c1ccccc1P->3(c1ccccc1)c1ccccc1
125,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-O=Cc2ccccc2P->1(c1ccccc1)c1ccccc1
126,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2ccccc2P->1(c1ccccc1)c1ccccc1)c1ccccc1
127,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2ccccc2P->1(c1ccccc1)c1ccccc1)c1ccccc1
128,CC(C)(C)N1=Cc2cccc3C=N(C(C)(C)C)->[Rh+3]<-1(<-[CH3-])(<-[Br-])<-[c-]23
129,CC1=C(C)[N-](O)->[Co+3]2(<-Nc3ccc(Br)cc3)(<-Nc3ccc(Br)cc3)(<-N1=O)<-N(=O)C(C)=C(C)[N-]->2O
130,O.O=S1(=O)OOS(=O)(=O)[O-]->[Zn+2]23(<-[O-]1)(<-n1cccc4ccc5cccn->2c5c41)<-n1cccc2ccc4cccn->3c4c21
131,Cc1cccc(C)c1[O-]->[Ti+4](<-[O-]c1c(C)cccc1C)(<-[O-]c1c(C)cccc1C)<-[O-]c1c(C)cccc1C
132,Brc1ccccc1C=N1CCN2CCN(=Cc3ccccc3Br)->[Cd+2]<-1<-2(<-[Br-])<-[Br-]
133,CC(C)P1(Cc2cccc3CP(C(C)C)(C(C)C)->[Ni+2]<-1(<-[I-])<-[c-]23)C(C)C
136,CCN(CC)c1ccc2C=N(c3ccc([N+](=O)[O-])cc3)->[Ni+2]3(<-[O-]c2c1)<-[O-]c1cc(N(CC)CC)ccc1C=N->3c1ccc([N+](=O)[O-])cc1
137,N#CCCP(CCC#N)(CCC#N)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(CCC#N)(CCC#N)CCC#N
138,CC1CCCC2C3CC4CN12->[Zn+2](<-[Cl-])(<-[Cl-])<-N1(CCCCC41)C3
139,CC(C)c1cccc(C(C)C)c1N1=CC=N(c2c(C(C)C)cccc2C(C)C)->[Pd+2]<-1(<-[Cl-])<-[Cl-]
140,Cc12->[Rh+3]345(<-O)(<-c1(C)c->3(C)[c-]->4(C)c->52C)(<-[C-](F)(F)C(F)(F)C(F)(F)F)<-P(C)(C)C
142,CC1c2cccc3C(C)=N4NC(=O->[Zn+2]<-4(<-O)(<-[O-][N+](=O)[O-])(<-N=1NC(=O)c1ccccc1)<-n23)c1ccccc1
145,CC(C)C(=O)Nc1cccc2CN34Cc5ccccn5->[Ru+2]<-35(<-[Cl-])(<-O=C(Nc3cccc(C4)n->53)C(C)C)<-n21
146,NC(=O)CCN12CC(=O)[O-]->[Co+3]<-13(<-O)(<-[O-]C(=O)C2)<-n1cccc2ccc4cccn->3c4c21
147,O=C1CN23CCN45CC(=O)[O-]->[Cd+2]<-2<-4(<-O)(<-O=C(O)C3)(<-O=C(O)C5)<-[O-]1
148,O=[N+]([O-])c1ccccc1N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-Nc1ccccc1[N+](=O)[O-]
149,O=[N+]([O-])c1cccc(N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-Nc2cccc([N+](=O)[O-])c2)c1
150,CC(C)c12->[Ru+2]3456(<-[Cl-])(<-[Cl-])(<-N=c7cc[nH]c(=O)[nH]7)<-c(c->31)c->4(C)c->5c->62
151,CC(C)c12->[Ru+2]3456(<-[Cl-])(<-[Cl-])(<-S=c7[nH]ccc(=O)[nH]7)<-c(c->31)c->4(C)c->5c->62
152,CCC#N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N=C(CC)Nc1ccc([N+](=O)[O-])cc1
153,CCC(Nc1cccc([N+](=O)[O-])c1)=N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N=C(CC)OC
154,NC1=C2C(=O)c3ccccc3-c3c2n2->[Ni+2]45<-n6c(c(-c7ccccc7)c7ccc(c(-c8ccccc8)c21)[n-]->47)C=Cc6c(-c1ccccc1)c1ccc3[n-]->51
155,[Cl-]->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-n1ccc[nH]1)<-n1ccc[nH]1
156,[F-]->[Ti+4](<-[F-])(<-[Cl-])(<-[Cl-])(<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1)<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1
157,C=CCN1c2ccccc2N(CC=C)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-[C]1N(CC=C)c2ccccc2N1CC=C
158,Cc12->[Ir+3]34567(<-NC(c8ccccc8)C(c8cccc[c-]->38)[N-]->4S(=O)(=O)C(F)(F)F)<-c1(C)c->5(C)[c-]->6(C)c->72C
159,Cc12->[Ir+3]34567(<-NC(c8cccc[c-]->38)C(c3ccccc3)[N-]->4S(=O)(=O)C(F)(F)F)<-c1(C)c->5(C)[c-]->6(C)c->72C
160,Cc12->[Ir+3]3456(<-[Cl-])(<-NCC[N-]->3S(=O)(=O)C(F)(F)F)<-c1(C)c->4(C)[c-]->5(C)c->62C
162,CS(=O)(=O)Nc1cccn(->[Pt+2](<-[I-])(<-[I-])<-n2cccc(NS(C)(=O)=O)c2)c1
164,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F
165,[O+]#[C-]->[Re+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F
167,[I-]->[Zn+2]1(<-[I-])<-n2cccc3ccc4cccn->1c4c32
168,CC(C)P1(CCP(C(C)C)(C(C)C)->[Ni]<-12<-N#C->2c1ccccc1)C(C)C
169,CC1N->[Pt+2](<-[Cl-])(<-[Cl-])<-[O-]C1=O
170,CCc12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c7(c->31O[Si](C)(C)C(C)(C)C)c->4(c->5(OC)c->62CC)C(c1ccccc1)CC(OC)=C7
171,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccc(Cl)c3ccc4ccc5c(Cl)ccn->1c5c4c32
172,Clc1ccn2->[Pt+2](<-[Cl-])(<-[Cl-])<-n3ccc(Cl)c4ccc5ccc1c2c5c43
176,Cc12->[Rh+3]345(<-[CH3-])(<-[Cl-])(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-P(C)(C)C
177,CCCN(CCC)c1ccc(C=N2N=C(SC)[S-]->[Ni+2]<-23<-[S-]C(=NN->3=Cc2ccc(N(CCC)CCC)cc2)SC)cc1
179,COc1ccc(P(->[Au+]<-[Cl-])(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
180,[Cl-]->[Ru+2]123(<-n4ccccc4-c4ccccn->14)<-n1cccn1C(n1cccn->21)n1cccn->31
181,O.O.O=[N+]1[O-]->[Zn+2]2(<-O)(<-[O-]1)<-n1ccccc1-c1ccccn->21
182,CC12CCC(c3c1nccn3->[Zn+2](<-[Br-])(<-[Br-])<-n1ccnc3c1C1CCC3(C)C1(C)C)C2(C)C
184,CC(C)P(C(C)C)(C(C)C)->[Os+2]1234(<-[Br-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C
185,COCCP12->[Mo]3(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(CCCP->3CCC1)CCC2
186,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3C=N->1C1OC3COC(C)OC3C(O)C1[O-]->2
187,CC1OCC2OC3N=Cc4ccccc4[O-]->[V+5](<-[O-2])(<-[O-2])<-[O-]C3C(O)C2O1
188,COC1OC2c3ccccn3->[Au+3](<-[Cl-])(<-[Cl-])<-[C-]=2c2ccccc21
189,[I-]->[Cu+](<-S=C(NN=Cc1ccco1)Nc1ccccc1)<-S=C(NN=Cc1ccco1)Nc1ccccc1
190,CC(C)(C)N12->[Fe+2]34(<-[Cl-])(<-[Cl-])<-n5c(cccc5CN->3(C(C)(C)C)Cc3cccc(n->43)C1)C2
191,CC(C)(C)N1Cc2cccc3n2->[Ni+2](<-[Br-])(<-[Br-])<-n2c(cccc2CN(C(C)(C)C)C3)C1
192,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2]23(<-S=c4[nH]c(=S)[nH]c(=S)[n-]->24)(<-S=c2[nH]c(=S)[nH]c(=S)[n-]->32)<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)c1
193,CNC(=O)c1cccn(->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cccc(C(=O)NC)c2)c1
195,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cc3ccccc3[nH]2)c(C)c1
196,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1ccc[nH]1
197,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)[C]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cc3ccccc3[nH]2)c(C)c1
198,c1cc[c-]2->[Pd+2]3(<-NCc2c1)<-n1ccccc1-c1ccccn->31
199,CN12CCCS3Cc4cccc[c-]4->[IrH+2]<-3<-1(<-[Cl-])<-N1(CCC2)CCOCC1
201,[O+]#[C-]->[Fe]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C2=C->1c1cccc3cccc2c13
202,CCOC(=O)[N-]1[N-]2C(=O)(OCC)->[Pd+2]<-1<-23<-n1c(C)cc(-c2ccccc2)c2ccc4c(-c5ccccc5)cc(C)n->3c4c21
204,CCOP(OCC)(OCC)->[Pt+2](<-[Cl-])(<-[Cl-])<-P(OCC)(OCC)OCC
206,Cc1cccc2C3=NN(C)C(=O)N(C)[N-]3->[Cu+3]3(<-n12)<-n1c(C)cccc1C1=NN(C)C(=O)N(C)[N-]->31
207,N#[C-]->[Fe+2]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45
208,Cc12->[Fe+2]345(<-[C-]#N)(<-[C-]#[O+])(<-[C-]#[O+])<-c1(C)c->3(C)[c-]->4(C)c->52C
210,[O-2]->[Os+6]12(<-[O-2])(<-O=c3c([O-]->1)c(-c1ccccc1)oc1ccccc31)<-O=c1c([O-]->2)c(-c2ccccc2)oc2ccccc12
211,Cc12->[Fe+2]3456(<-c1(C)c->3(C)[c-]->4(C)c->52C)(<-P(CCP->6(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)<-p12p3p1p32
212,CC(=O)C(=C(C)O)c1ccncc1.CC(=O)C(=C(C)O)c1ccncc1.[Br-]->[Hg+2]<-[Br-]
214,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1
215,CC(=O)[O-]->[Pd+2]12<-[c-]3cccc(C)c3-c3cccc(C(C)(C)N->1c1c(C(C)C)cccc1C(C)C)n->23
216,[Cl-]->[Ru+2]123(<-[Cl-])(<-C4=C->1C1CC4C->2=C->31)(<-n1ccccc1)<-n1ccccc1
217,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-n4c(-c12)cccc4C(C)(C)N->3c1c(C(C)C)cccc1C(C)C
218,CC1C(C)P(c2ccccc2)(c2ccccc2)->[Ru+2](<-[Cl-])(<-[Cl-])(<-n2ccccc2)(<-n2ccccc2)<-P1(c1ccccc1)c1ccccc1
220,CC1CCC(C)P12c1ccccc1P1(->[Ru+2]<-23(<-[Cl-])(<-[Cl-])<-NC(c2ccccc2)C(N->3)c2ccccc2)C(C)CCC1C
221,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-OC(C)(C)c4cccc(-c12)n->34
222,[Cl-]->[Ru+2]123(<-n4ccccc4-c4cccc(-c5ccccn->15)n->24)<-n1cc[nH]c1-c1[nH]ccn->31
229,CC=C1CCC(C)c23->[Cr]4567(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->421)c->5([Si](C)(C)C)c->6(OC)c->73OC
230,COc12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->31C)c->41c->5(c->62OC)C(C)CCC1C(C)CC#N
231,[Cl-]->[Co+3]12(<-[Cl-])(<-NC3CCCCC3N->1)<-NC1CCCCC1N->2
232,Cc1n(Cn2nnc3ccccc32)ccn1->[Zn+2](<-[Cl-])(<-[Cl-])<-n1ccn(Cn2nnc3ccccc32)c1C
233,CCP(CC)(c1ccccc1)->[Re+5](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[N-2]c1ccc(C(C)=O)cc1)<-P(CC)(CC)c1ccccc1
234,C[C](Nc1ccccc1)->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](C)=O
235,CC(=O)[CH2-]->[Mn+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c1ccccc1)(c1ccccc1)c1ccccc1
